SiteEnergyUse(kBtu),TotalGHGEmissions
1791071.375,13.91
5572503.0,254.87
1755072.75,51.14
2462408.25,87.41
3740373.75,35.48
19155416.0,406.02
3505497.0,137.66
1682454.875,11.73
945245.625,43.84
1207504.0,42.71
3460275.5,99.15
470666.6875,19.28
2936336.25,108.05
20725996.0,530.62
317794.4063,13.09
127374.0,0.89
904236.0,6.3
3481727.5,150.23
3494929.5,92.7
19423344.0,717.93
2371358.0,36.24
5337334.0,171.64
1072151.375,12.57
1324092.125,51.1
3528086.75,66.77
6963616.5,49.28
1544193.75,15.5
19248732.0,477.85
2241280.5,15.62
2303732.75,16.06
2701833.75,78.57
2559461.75,77.04
716279.6875,4.99
7265178.0,231.53
5402181.0,134.82
608359.6875,25.24
1967476.375,71.06
5792926.0,40.38
1610794.75,59.0
431390.4063,17.38
15878689.0,110.7
19295226.0,249.09
495481.0,3.45
689803.0,21.87
1345025.75,28.81
904059.875,6.3
1011667.5,13.71
858780.625,14.9
1403094.75,30.22
4448582.5,129.39
22394416.0,454.49
942415.1875,6.76
5328051.5,256.57
5758795.0,176.14
16016644.0,691.26
39364116.0,1000.06
3767135.0,148.55
987063.6875,11.18
1847401.0,58.67
6197825.0,208.26
1295685.75,29.18
774075.6875,26.56
2646879.0,78.85
7798464.0,273.91
16540550.0,147.82
3009967.0,62.94
2799595.0,122.0
68090728.0,1990.5
17463744.0,163.19
6778694.0,63.61
7548807.0,225.69
3518459.5,74.83
6782435.0,235.26
1088556.25,7.59
8521989.0,286.33
1424157.25,38.78
509836.1875,21.93
1686262.25,61.3
4841347.5,59.19
7851334.5,61.93
405062.0,2.82
6962073.0,48.54
8915523.0,119.92
2497942.75,46.9
0.0,4.19
11688601.0,162.45
834711.875,5.82
930611.875,48.65
4991360.5,34.9
2827772.75,44.89
6758565.5,169.06
1145535.75,36.43
873577.3125,15.11
421430.0,2.94
3050455.25,73.52
3020001.5,21.05
3537841.5,116.94
726917.5,5.07
6876439.5,47.94
1811506.375,13.16
2556131.0,94.85
4897760.0,34.14
3785282.5,26.39
2839882.25,61.68
1167887.75,40.85
24224888.0,168.88
5252131.0,36.61
1730600.625,34.26
378714.4063,2.64
1544995.75,47.03
9474745.0,243.66
1111293.75,43.04
2686765.0,34.15
6357632.0,44.32
561473.875,23.52
0.0,13.64
2852102.75,19.88
14751117.0,130.32
1735995.75,67.45
1628540.0,67.05
14856199.0,103.57
1139980.625,38.87
13962749.0,284.01
19459304.0,526.85
284857.3125,8.59
4236396.5,67.96
1857154.75,74.92
5155090.5,127.1
651293.3125,18.85
22325364.0,648.62
2844685.0,119.34
2654316.0,18.5
0.0,14.67
1554599.25,37.83
7857972.5,54.78
1245923.75,62.23
1426279.5,35.96
3484915.5,24.29
36436388.0,1154.79
11147342.0,406.04
720170.6875,5.02
478690.0938,3.34
5514308.5,116.74
431471.6875,11.54
10234721.0,348.22
468396.9063,9.25
2332996.5,83.1
657385.8125,4.58
3459543.0,24.12
1280263.75,42.45
5284343.5,144.79
1818867.875,30.32
1429855.75,40.01
177812.7969,1.24
14293972.0,384.27
222255.9063,1.55
1213869.75,55.3
9343428.0,119.93
1261634.5,27.41
1791715.625,48.5
2017967.75,46.44
4302455.5,175.53
1176342.25,39.05
1638691.625,61.25
931148.625,6.49
6335315.5,107.29
439065.9063,3.06
867184.375,30.22
2619088.5,55.85
3497215.5,24.38
8873485.0,61.86
2070005.625,82.07
1331122.125,45.38
1987934.625,13.86
29949248.0,208.79
1441900.5,41.69
0.0,229.38
2595783.5,106.45
3377209.75,29.54
1377627.0,72.88
2925780.0,67.65
20675922.0,259.49
786253.6875,29.24
1594422.5,51.56
1601955.625,35.72
412562.4063,2.88
2450442.75,17.08
25307744.0,176.43
1794187.25,46.93
2951331.25,83.86
114648520.0,3243.48
3978277.0,132.6
1137967.5,13.29
3903259.75,51.67
1000796.875,33.18
636965.5,4.44
1632472.0,11.38
1972078.625,13.75
1634178.25,14.13
19397324.0,135.23
826488.6875,22.38
1832031.5,83.3
12525174.0,0.0
8268496.5,249.46
1758134.625,40.42
331675.0,7.07
7429423.0,86.51
1396082.25,41.8
7258758.5,262.75
2833624.5,112.82
53079164.0,588.9
6668568.5,215.0
966907.375,32.09
1162561.125,28.64
4590246.5,174.62
1047461.0,32.22
770333.0,32.63
3204685.5,67.52
104722.2969,0.73
14512786.0,277.98
1152896.25,41.27
14833476.0,301.76
2284133.75,49.12
4757299.5,33.17
162960.0,1.14
602245.0,4.2
3663534.5,90.01
1900006.25,13.25
520011.8125,14.81
4416909.5,30.79
2096835.5,89.29
776248.6875,5.41
402051.3125,2.8
1063035.875,18.62
8025696.0,176.75
3646053.75,58.79
3238216.0,22.57
3768900.5,50.05
8687690.0,206.33
1211349.25,8.44
763364.5,5.32
387810.0,7.79
25567108.0,182.14
8138616.5,282.46
8800292.0,328.97
2720238.25,77.84
1257774.625,8.77
6118300.5,210.3
6186461.5,130.56
12029600.0,260.13
954352.6875,24.97
1623657.0,11.32
859236.625,24.02
9941308.0,69.3
1636649.125,29.62
727385.8125,5.07
9230223.0,369.14
817409.625,6.53
2756214.75,117.11
1608884.25,37.61
600516.875,19.77
1144267.5,7.98
1126157.25,28.09
2729167.75,23.48
1832808.75,44.33
1567746.75,46.16
5447076.5,37.97
3375211.0,87.98
5803409.0,40.46
8839812.0,219.93
4970047.0,207.6
27717034.0,723.47
1028277.313,34.61
8651835.0,85.01
1560461.75,33.78
1471914.25,10.26
28450436.0,198.34
2771820.5,124.4
9851260.0,260.32
12731388.0,133.5
418348.5,2.92
1362523.0,63.48
4475650.0,101.99
3686962.25,150.88
0.0,16.36
2028125.625,63.22
4262316.5,93.5
1951856.25,13.61
2442220.0,41.96
7475577.5,204.08
1063960.125,18.87
4322873.0,141.2
7070998.5,49.29
2545405.0,28.41
9373179.0,309.6
2053956.375,85.15
41213584.0,287.32
1567040.75,10.92
17750994.0,246.83
56606136.0,530.18
2178074.5,76.8
8218155.5,91.13
69519808.0,546.65
1903455.875,13.27
873221.875,6.09
270838.5,9.71
8163413.0,298.91
2409429.0,67.29
2485521.0,41.06
269016.6875,2.25
4581493.0,42.2
1436510.375,20.3
998633.5,6.96
1799402.75,41.68
6836900.0,152.76
17867002.0,130.73
2547848.0,30.6
14436982.0,100.65
5475367.0,38.17
2147968.25,120.91
1356874.75,62.05
392683.6875,10.99
42709624.0,1032.63
2805826.0,19.56
545426.375,3.8
4748137.0,80.08
5392617.5,74.45
3936421.5,82.57
928584.875,9.65
28053172.0,487.53
2331952.75,89.08
983595.875,17.12
1632498.625,60.83
188745.7031,7.05
24395228.0,587.16
17880184.0,128.73
3570161.75,24.89
2235765.5,44.26
1881516.125,61.98
1286817.375,8.97
2991674.75,20.86
1268459.0,43.63
655422.375,19.61
5827595.5,162.39
2058532.875,14.35
576174.125,4.02
608755.375,28.78
3220635.25,22.65
1929851.5,49.18
9363374.0,176.75
736428.625,32.77
1536998.25,10.72
33556756.0,802.89
2100097.75,69.44
1662054.125,22.76
935580.3125,38.86
3476212.5,48.76
56485204.0,2573.75
1806468.0,12.59
2339234.0,64.75
336745.4063,2.35
3605749.75,25.14
2491238.25,43.17
227566.7031,8.15
30985420.0,359.11
3626431.5,95.93
16402563.0,609.1
11410228.0,106.12
8580279.0,222.19
0.0,265.21
2853189.5,19.89
523614.0938,8.7
11343686.0,388.04
1252323.875,8.73
436604.0938,3.04
4817062.0,33.58
3321603.0,130.58
5094197.0,74.31
923812.8125,10.8
9134963.0,162.41
1267463.125,8.84
1164537.75,23.5
10287986.0,157.48
161363.4063,1.12
666687.5,20.96
1748444.25,37.08
90558.70313,0.63
1933811.625,57.59
18576900.0,213.23
1372213.375,35.77
25631512.0,710.7
3205182.5,22.46
1267348.5,43.97
12729858.0,88.74
2767491.0,29.53
5662234.0,39.47
7442314.5,73.48
1381590.125,51.11
4253369.5,61.21
2796425.0,110.66
502667.6875,3.5
440419.1875,12.92
1049748.625,39.06
1912760.75,13.33
10498344.0,225.19
1577040.875,61.53
26659244.0,780.84
7439009.0,195.43
1631479.125,56.25
11730555.0,325.94
3757006.0,26.19
541943.3125,3.78
797170.3125,12.22
899924.1875,29.21
503744.6875,3.51
12095818.0,457.51
318962.8125,2.22
3787648.25,26.41
5446624.0,238.09
436252.5,3.04
8905287.0,247.85
1650279.25,31.47
971990.3125,29.82
438557.0,12.17
15473117.0,481.97
3202213.0,65.3
2246747.5,46.46
1067153.75,30.33
1012024.313,32.58
6715187.0,199.95
0.0,10.43
10062436.0,70.15
4855036.5,33.85
1961581.5,13.67
920430.625,6.42
1538750.625,48.35
3094090.0,122.71
1594733.625,69.2
630250.125,18.16
4644346.0,190.45
248616.0,1.73
502898.6875,17.39
5652231.0,39.4
2186148.5,41.77
1159807.125,8.09
1333432.125,9.3
3155496.0,74.18
1407277.25,21.29
1295485.25,27.06
13568148.0,94.59
950276.1875,32.17
932082.125,20.33
1938776.75,43.91
2520483.25,17.57
1062722.625,24.25
45163308.0,627.87
2045592.0,77.76
11624548.0,92.07
111969.7031,0.79
6744317.0,297.43
581289.0,4.05
345866.6875,2.41
5453438.5,110.41
1297812.75,24.42
44731160.0,311.84
12086616.0,301.81
3542708.5,101.21
1619177.125,11.29
883197.6875,6.16
56498868.0,481.06
335245.0,2.34
5765898.0,223.54
2582687.0,76.68
20361158.0,141.95
2203758.5,102.35
23262244.0,741.3
7637986.0,53.25
1386445.375,9.67
4294550.0,135.81
8190809.0,226.06
59757440.0,892.63
2249592.5,83.59
1121537.75,7.82
1539478.5,38.53
5587347.0,247.97
796042.375,11.44
4353025.0,30.35
802312.5,5.59
1096646.25,39.05
15725581.0,116.95
1633105.375,11.39
1904480.0,13.28
1765813.625,67.33
7771933.5,54.18
13071700.0,422.39
1934224.25,66.53
4336187.5,99.59
1002995.0,6.99
2564004.0,17.87
2436063.0,80.19
544172.375,16.13
1124543.125,22.1
1845150.625,69.18
1143826.625,29.44
2424724.25,95.54
23658978.0,607.41
1761137.5,24.62
1513570.75,10.55
6062770.5,49.17
415364.5938,14.37
1700057.375,28.28
17254810.0,190.1
243518.2031,1.7
1896626.375,13.22
1950713.25,36.02
32552428.0,231.32
2178690.5,49.98
274682208.0,1921.82
6779173.0,270.18
11325513.0,94.47
778355.8125,31.74
659761.875,17.04
36378588.0,426.39
41399504.0,362.66
844076.8125,17.51
5444253.5,38.55
2153603.5,65.56
971155.625,34.0
2107743.75,60.12
1498457.875,12.43
4342597.0,30.27
1031667.5,17.41
2143650.75,86.46
439311.9063,15.27
1968655.125,13.72
1157976.5,8.07
2042771.0,30.52
752093.625,10.75
1242666.25,53.02
7575080.0,109.71
5101504.5,35.56
11521140.0,338.58
12148720.0,480.9
1467029.75,54.44
2295176.5,16.0
1581036.75,53.88
1849331.25,12.89
1677002.25,28.27
4585070.5,41.8
2641681.75,20.08
1076733.25,34.98
8921778.0,175.95
6029121.5,42.03
1269847.75,8.85
22530168.0,640.71
456953.0,12.77
14641502.0,429.12
1061458.25,32.02
5976246.0,259.22
964236.0,38.18
4253577.5,133.58
813641.0,5.67
4549892.0,31.72
966677.125,31.61
2717863.25,89.57
4374646.0,30.5
18102026.0,224.36
6486377.5,45.22
2824096.75,19.69
5697472.5,163.83
24105.5,0.17
758008.875,25.77
8422861.0,77.99
627854.125,4.38
11054535.0,272.54
1217509.125,8.49
888031.875,32.22
363808.1875,7.74
1862176.875,12.98
1813404.0,60.81
8387933.0,295.86
992794.6875,47.08
845961.375,32.64
5007401.0,68.19
1242811.75,44.97
3040978.0,111.73
1264626.875,18.19
1625308.625,46.45
2371304.5,41.74
550324.1875,20.46
8570571.0,59.75
1622231.375,55.73
1634669.375,11.4
2465983.5,123.41
11594121.0,269.71
2301043.75,19.93
5655578.0,203.73
229856.4063,1.6
2737534.5,58.28
0.0,0.0
905750.375,23.84
3085814.0,21.51
9058916.0,54.92
10960107.0,416.07
12232124.0,85.28
13631141.0,95.03
6275367.5,175.46
8164853.0,207.79
4199443.0,69.53
882896.5,6.16
1155080.5,12.15
3743228.5,26.1
810636.875,9.72
11702959.0,303.69
6423556.5,193.72
1094940.75,13.14
2848317.25,19.86
3928695.25,27.39
2067352.5,14.63
12434593.0,413.1
1084553.75,7.56
44984468.0,1265.29
13140574.0,404.21
586589.1875,25.15
163945984.0,6330.91
605186.3125,15.47
1791697.75,49.53
11319836.0,374.92
27137190.0,189.18
1537570.25,26.94
2473302.0,104.74
1219744.75,12.48
805643.5,19.51
13085297.0,270.17
847419.375,15.35
1361794.25,43.13
16163194.0,295.33
3835202.0,178.86
981009.125,6.84
2155390.25,83.76
44293.5,0.31
1573155.0,62.94
79711.79688,0.87
1555420.25,34.14
1429146.375,17.17
1361427.75,39.5
1750419.0,80.09
7221482.5,100.42
8655604.0,68.06
5357833.0,46.03
1431784.0,54.24
1676426.5,11.69
25959642.0,809.76
131373880.0,3995.45
53166156.0,2549.47
38301744.0,866.23
1114384.625,7.77
374753.8125,6.88
1485945.875,10.36
2998208.25,20.9
2662054.25,91.69
710275.375,4.95
1612105.75,52.41
4704936.5,32.8
1379932.5,60.34
2443141.5,27.82
326001.1875,2.27
2581741.75,42.74
12265516.0,272.85
1465795.75,34.03
775729.1875,5.44
116486.6016,0.81
2018385.75,50.07
350264.5938,6.69
1986094.875,54.07
16378152.0,588.25
222600.0938,1.55
7606084.5,273.02
1011965.375,7.05
13270687.0,92.52
1778431.75,64.81
1358519.0,9.47
3548858.25,121.9
1208035.375,8.42
3185005.25,74.3
861643.6875,22.18
6859198.0,47.82
1169948.875,26.38
6127771.5,242.36
90609640.0,3768.66
1469556.25,23.85
1793851.375,46.48
15640994.0,295.48
533742.8125,3.72
1086678.125,47.59
8305255.0,193.36
1740568.25,49.79
2227638.25,60.88
893053.1875,31.54
13329024.0,92.92
1694930.375,51.27
2203026.5,55.73
7251589.0,50.55
855665.125,5.97
3004271.0,20.94
1325972.75,9.24
21169502.0,380.37
30083496.0,632.4
48406556.0,349.07
743528.125,33.52
6917478.5,122.68
522972.1875,3.65
31371618.0,726.96
14469228.0,179.45
3027867.5,77.23
6399127.5,266.05
45252356.0,1019.53
25747022.0,185.39
2842819.5,55.86
5233553.5,36.49
784364.5,10.24
1128179.125,27.14
5401277.5,227.18
12726789.0,388.37
409578.4063,2.86
3736960.0,156.45
6505995.0,142.39
0.0,0.0
9765777.0,72.42
10775646.0,75.12
323739.4063,6.33
6468090.0,75.29
13911761.0,201.15
1725108.25,39.65
3040195.5,118.37
13239050.0,245.16
3886545.0,144.41
9393108.0,255.97
1046187.625,18.04
41680640.0,290.57
400770.9063,13.12
2274873.5,50.67
717056.375,8.45
822636.625,38.38
8381834.5,58.43
1331469.75,44.68
13656587.0,355.05
3180819.25,22.17
1546484.875,38.13
2603931.25,63.89
940844.6875,9.91
4224872.5,93.23
318364.8125,3.93
919746.3125,6.41
1981360.0,70.92
7305474.0,158.55
10005787.0,119.76
5117308.5,216.18
209644.9063,4.8
4456714.5,128.44
1287497.375,18.76
753275.1875,28.58
8767617.0,191.97
0.0,50.22
7739699.0,100.26
7226362.5,249.98
6596057.5,328.23
910718.6875,6.35
40613740.0,537.03
1467060.25,19.82
1614026.25,53.21
24603420.0,171.52
326778.6875,2.28
7519466.5,69.59
10394330.0,377.27
2470642.0,17.22
7531325.0,184.81
5833800.0,129.89
3706100.25,67.06
14524386.0,712.39
2385395.0,16.63
9436408.0,96.43
9641043.0,218.53
1618110.375,49.25
5722325.5,256.31
1262235.25,8.8
362874.0,9.08
3076813.25,122.73
2050600.75,40.22
2356376.75,73.58
113130.0,2.69
24017770.0,639.39
1378130.25,62.51
3191228.25,83.7
1326178.125,11.27
2179719.75,28.63
1686405.0,34.52
10834087.0,462.4
739210.5,20.64
1841154.25,26.11
755618.1875,6.18
1689372.625,36.74
2443065.25,66.29
5078204.0,35.4
1021796.625,42.04
2830674.75,19.73
2478045.5,73.26
52960796.0,1623.34
405050.4063,2.82
924192.6875,7.8
2944296.25,35.78
1261536.75,38.87
4069301.5,28.37
1045838.5,44.26
347437.6875,6.46
5136604.5,143.34
27018020.0,229.25
895784.6875,14.19
17695420.0,142.36
9937707.0,190.61
2145603.5,72.69
0.0,0.0
1090496.625,22.44
12250422.0,326.74
11521702.0,80.32
14633233.0,563.25
2130673.75,63.06
7290824.5,129.29
3245111.5,22.62
4116871.5,104.26
1328461.25,9.26
6129780.0,42.73
1813718.0,47.18
2886141.5,20.12
24906132.0,940.47
13214416.0,298.61
65336980.0,2055.82
845044.125,5.94
1705515.25,68.14
1633399.375,20.48
3993913.25,126.3
3605755.5,25.14
1751483.875,64.88
1809101.5,78.92
2189735.0,42.87
1896298.875,37.78
771512.6875,14.99
216115.0,1.51
719905.1875,27.93
24755086.0,172.58
4345698.0,131.64
9313513.0,334.15
26941110.0,740.97
1015060.188,7.08
870625.8125,18.63
161311.0938,1.12
18661606.0,149.27
2478025.25,17.28
265774.9063,1.85
683274.0,4.76
22078064.0,357.86
37797084.0,913.07
4560492.0,156.67
2726369.0,101.83
4052720.0,31.43
959352.0,42.96
985401.8125,33.8
534703.6875,3.73
3568419.5,24.88
1069749.75,13.07
37022180.0,1280.81
16371039.0,213.7
2010454.625,46.26
4644178.0,47.66
6058494.0,42.24
3059758.0,74.33
686019.1875,16.27
1436773.875,24.63
1206165.75,27.75
2669564.25,72.78
2746560.75,70.17
10642754.0,225.67
4480961.0,31.24
18309150.0,236.9
7802205.5,54.4
2233262.0,79.58
72370.39844,0.5
849745.6875,20.94
3632613.75,25.32
1402048.5,28.46
713326.875,13.69
917100.3125,38.59
499828.5938,14.36
1822834.25,38.21
12720069.0,147.14
3065954.5,21.37
39523852.0,275.54
4169431.5,130.69
40062888.0,398.19
3822102.5,69.42
21795830.0,152.71
2887392.0,84.75
564754.1875,3.94
1539066.375,10.73
1269367.5,8.85
2804534.0,75.25
11171988.0,338.16
808968.1875,18.03
3625407.5,121.63
932083.5,9.09
936616.5,24.73
97690.39844,0.68
5535626.0,38.59
4103800.75,48.13
1906384.875,13.29
49517704.0,525.78
61576184.0,429.27
1980825.25,68.89
1814947.0,56.04
17673018.0,255.83
6219841.5,243.23
13133225.0,306.5
1829981.375,68.97
28731502.0,661.04
2058955.25,22.12
9157150.0,123.71
2602213.75,41.96
1162163.125,26.52
3147042.0,49.09
3042875.5,145.48
2946756.25,85.55
1943899.25,58.52
9536161.0,66.48
866806.0,37.28
2106073.5,73.0
2280352.5,15.9
1856230.625,30.02
14029480.0,384.85
783423.0,23.0
2177075.0,33.37
6455828.5,91.1
0.0,0.0
1132489.625,33.23
2128459.0,46.36
2933288.75,24.91
17085344.0,413.35
15480681.0,515.71
0.0,170.9
3242077.75,49.58
6235947.0,152.28
2891605.0,20.18
741287.1875,5.17
1380293.625,44.22
1056782.125,7.37
4626443.0,201.05
1291405.25,9.0
238969.7031,1.67
1399062.75,21.46
106918.0,0.75
2334260.0,43.98
361542.0938,2.52
8024064.5,262.45
7588060.5,156.18
2502131.0,20.1
9336239.0,208.53
5197118.0,155.74
3652708.75,184.0
8926736.0,94.63
5049446.5,47.25
19085174.0,341.23
1351267.875,9.42
22104512.0,582.28
1242311.5,25.09
10105379.0,193.94
325513.0,6.32
9290214.0,72.02
35891484.0,362.82
14709151.0,102.54
151754.2969,1.06
1683064.25,67.15
2133797.75,57.25
62197176.0,433.6
3540225.75,109.59
666740.3125,4.65
1608508.75,17.6
3606416.0,168.88
1411305.5,43.45
1073156.375,36.82
9190442.0,234.03
1522596.75,55.23
331059.5,5.66
526752.8125,3.67
3444270.0,170.51
3363535.5,103.28
881386.1875,6.14
552007.5,9.95
204499.0938,5.43
577123.125,14.79
7240274.0,303.81
1244150.0,41.88
3091387.5,96.15
8475238.0,270.63
18588860.0,181.38
241478.5938,1.68
6994740.5,247.85
98960776.0,3278.11
6794584.0,286.43
968026.3125,26.73
3133849.5,106.35
3239754.0,101.31
14715262.0,414.43
5981430.0,41.7
645665.375,14.37
6917280.0,215.56
1645605.125,53.73
1564891.75,47.98
1801941.75,46.51
2186018.5,15.24
17686444.0,523.95
1100499.75,7.67
3611538.0,127.29
8384523.0,119.46
1363191.625,9.5
735907.8125,17.29
1964681.25,13.7
6657348.5,49.74
840549.375,5.86
209698.7031,1.46
1310236.625,9.13
33729336.0,1510.85
8523594.0,89.41
700627.625,4.88
2373568.25,59.14
731321.8125,31.6
5348309.0,134.38
6673138.0,46.52
1028376.875,23.86
2640980.25,112.34
5525072.5,50.32
9080022.0,293.55
2823184.0,94.85
1288669.5,25.53
1533245.75,38.52
5912066.0,176.79
47859812.0,1699.45
4695139.0,32.73
11195917.0,29.43
729397.1875,5.08
1639136.25,18.87
637685.0,4.45
1656420.25,53.65
4747403.5,33.1
17666646.0,328.83
3371659.75,28.79
1408291.375,9.82
3343550.0,100.21
2524228.25,77.8
3168131.0,22.09
2472350.25,17.24
1333289.625,9.29
16373232.0,114.14
3543985.5,89.8
3846501.25,128.66
3929371.0,98.43
227509.5,1.59
1435562.75,10.01
1581352.75,11.02
9357230.0,204.81
17225444.0,553.27
2076289.625,54.02
51168308.0,199.48
3605855.5,157.7
5381105.0,37.51
2763597.0,89.53
2563985.5,17.87
1787119.0,45.79
2282551.25,59.24
1965182.25,49.58
1164364.75,33.28
1851260.5,59.34
13843866.0,216.24
1486681.75,26.27
1544501.75,46.53
7046345.5,49.12
1922953.25,31.94
1042108.5,42.19
6197824.5,43.21
2119806.25,35.99
10053489.0,70.09
11480494.0,346.62
485971.0,3.39
20628680.0,792.6
903541.875,6.3
1262255.75,8.8
1141189.75,29.16
9683979.0,67.51
3724098.25,39.31
416885.5938,2.91
448385312.0,16870.98
6042399.5,131.02
27076922.0,1084.79
13410041.0,453.76
3775187.5,133.8
9814820.0,226.43
2158629.0,45.43
1218112.0,8.49
6298131.5,221.51
950695.625,29.88
92937640.0,882.56
100841.7031,0.7
8493420.0,59.21
1799664.125,82.34
2897079.75,36.92
2831565.5,39.5
1027230.875,14.64
11508035.0,611.19
33713876.0,849.83
794724.625,18.54
1508561.875,28.05
1989103.875,65.89
3532966.5,126.78
2190460.0,24.31
991918.0,10.15
1403820.0,9.79
2551022.25,107.16
3321035.75,23.15
1642471.5,38.57
690529.5,9.31
40847752.0,313.3
1074989.0,7.49
1618916.375,11.29
4265815.0,188.67
3897738.0,27.17
5277482.5,184.09
1181428.75,38.36
9444484.0,278.97
13567774.0,359.09
18967014.0,530.66
253832464.0,8145.52
15067340.0,357.39
117438.3984,0.82
764094.5,21.5
7408342.0,92.45
1587454.75,46.57
306911.0938,6.61
8819852.0,170.84
3241917.0,69.02
858701.0,8.22
102673696.0,3238.24
123767.2031,0.86
4991893.5,91.98
1200180.875,53.25
5238803.0,47.12
652991.6875,5.09
2590622.0,115.43
19036416.0,132.71
2502081.0,96.62
819354.625,12.55
5135040.0,35.8
8518313.0,237.54
2470566.0,120.86
18760766.0,214.19
9671619.0,185.03
3275779.25,152.14
4750799.0,65.03
1848878.5,64.54
7655751.0,130.31
25471308.0,189.85
16865978.0,293.56
1586388.75,11.06
1968907.25,64.79
989079.5,16.57
4178233.5,31.97
595936.5,4.15
18221224.0,139.72
21156670.0,147.49
3684188.5,38.48
1321065.0,46.61
5804784.5,178.35
3600571.25,41.22
519806.0938,3.62
466672.6875,3.25
7202141.5,183.79
1921801.25,19.04
6461937.0,89.47
1992158.25,46.01
342726.0938,0.0
52226204.0,793.05
4946798.5,97.82
11935719.0,469.57
1835804.0,38.71
469499.8125,11.08
10077532.0,267.0
37951708.0,166.13
3717064.0,97.27
817255.875,27.83
3894584.5,124.92
7791957.0,270.97
2225512.0,57.73
709990.8125,4.95
5671256.0,40.47
1459199.75,33.42
6522551.5,45.47
863703.0,13.87
1709307.5,49.55
11019641.0,292.8
866126.375,6.04
39605888.0,617.52
5134607.5,35.8
2843033.5,20.29
2586116.0,18.03
2786648.75,19.43
1748644.5,58.36
75073888.0,530.59
5400049.5,180.38
638507.125,24.76
7946961.0,228.4
4426136.0,30.86
61762380.0,1268.87
1074350.375,7.49
42792072.0,1727.11
2177064.75,78.19
150167.7969,1.6
2890379.0,49.62
2399353.5,81.96
2615973.5,124.59
1987334.75,66.43
4420650.5,134.8
1981115.25,19.12
557863.6875,3.89
3612526.75,38.39
2794837.0,120.72
11651200.0,318.08
16808.90039,0.12
1998725.25,44.28
786324.0,19.61
58761304.0,1246.55
3212269.0,22.39
1519952.125,50.76
53466684.0,748.55
6689184.0,202.65
1275231.75,49.73
16319835.0,222.02
63835192.0,445.62
965425.1875,29.39
1725336.25,69.77
2171751.5,93.55
5903015.0,192.12
